shop_id,tag,name,rating,special_tags,promo,delivery_type,avg_price,addr,lng,lat,monthly_sales_plus,distance_m,start_price,delivery_fee,delivery_time_min,rank,time_period,__source__,is_food_court,has_floor_token,hit_mall_chain,pre_label
20020065406,,青年肉筋卷饼(第六档口吉祥美食城),5.0,20人觉得好吃,最高28;13元;1元店铺红包;返3元红包;集点返3元;支持自取;线上开票;售后无忧,蜂鸟准时达,11.0,中关村南三街6号中科资源大厦地下1层B15室,116.32152825707004,39.98296719288689,200,1406,20.0,0.0,30,北京中关村科贸电子城_中午_010,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
20021435158,,MODELBOWL轻体碗轻食沙拉健康餐(第20档口渝源居美食城),5.0,18人觉得口感很好;回复超快,最高28;13元;40减2;60减3;83减5;128减8;2元店铺红包;售后无忧,蜂鸟准时达,12.0,学院路乙9号院1号楼2层203号,116.34598490242524,39.99838331442757,3000,4828,15.0,0.0,46,北京中关村科贸电子城_中午_014,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
1096728324,,醉面·肉酱面牛肉面(中关村科贸店),5.0,94人觉得好吃,最高28;13元;50减1;80减2;100减3;线上开票;售后无忧,蜂鸟准时达,18.0,中关村大街18号B座2层D区04（科贸钻石街美食城内）,116.3119142442856,39.982204588878645,300,47,20.0,0.0,20,北京中关村科贸电子城_中午_038,中午,北京中关村科贸电子城_中午_wgs84.csv,1,0,0,food_court
20007983404,品牌,谷米·中华牛肉瓦锅饭(第3档口吉祥厨房美食城),5.0,22人觉得口感很好,最高28;13元;38减1;58减2;78减3;98减5;128减8;2元店铺红包;集点返3元;线上开票;售后无忧,蜂鸟准时达,19.0,中关村东路与中关村南一条交叉口北160米,116.3276681449439,39.98279940987041,1000,1976,0.0,0.0,35,北京中关村科贸电子城_中午_054,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
651924336,品牌,CoCo都可(圣熙8号店),5.0,回复超快;近7日816人下单;174人觉得口感醇厚,最高28;13元;10元店铺红包;优评领3元店铺券;返3元红包;支持自取;线上开票,蜂鸟准时达,,学清路甲8号五层美食城,116.34843481377298,40.00740482104915,3000,5590,20.0,9.0,47,北京中关村科贸电子城_中午_059,中午,北京中关村科贸电子城_中午_wgs84.csv,1,0,0,food_court
20007703288,,元气水饺·鲜饺制造铺(第8号档口吉祥美食城),4.6,回复超快;126人觉得味道不错,最高28;13元;59减2;69减3;89减4;109减8;2元店铺红包,蜂鸟准时达,10.0,中关村南三街6号,116.32177662086332,39.98347569411412,3000,1333,0.0,0.0,41,北京中关村科贸电子城_中午_063,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
20024211120,,彩色泡泡·暖轻食·健康餐北京中关村店(第6档口吉祥美食城),4.9,91人觉得好吃,最高28;13元;66减1;88减2;2元店铺红包;优评领3元店铺券;集点返5元;支持自取;线上开票,蜂鸟准时达,15.0,中关村东路66号2号楼2层商业7-2,116.32772094925286,39.98338728480666,3000,1940,15.0,0.0,35,北京中关村科贸电子城_中午_064,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
20007858461,,哈尔滨车站的老盒饭(第17档口逸洁美食城),4.6,22人觉得好吃,最高28;13元;38减1;78减2;158减3;首次光顾减2;优评领3元店铺券;集点返3元,蜂鸟准时达,11.0,学清路16号学知轩1层106,116.3467397750251,40.0108614888049,1000,5900,15.0,4.5,66,北京中关村科贸电子城_中午_069,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
369901488,,咕咕蒸鸡(第8档口庆余年美食城),4.7,1051人觉得好吃,最高28;13元;40减1;60减2;98减5;128减10;首次光顾减2;满赠;线上开票;售后无忧,商家自配送,16.0,知春里甲23号二层206号,116.31887864015548,39.97273770252315,300,1702,18.0,2.0,40,北京中关村科贸电子城_中午_078,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
1113558185,,一碗赌上厨师生涯的炒饭·王者炒饭(第六号档口吉祥厨房美食城),4.9,近7日374人下单;29人觉得口感好吃,最高28;13元;28减1;38减2;48减3;58减5;88减8;1元店铺红包;优评领3元店铺券;返2元红包;集点返3元;支持自取;极速退,蜂鸟准时达,,中关村南三街6号中科资源大厦地下1层B15室,116.3212817380912,39.98365063911848,1000,1314,1.0,0.0,39,北京中关村科贸电子城_中午_081,中午,北京中关村科贸电子城_中午_wgs84.csv,1,1,0,food_court
